"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","hgnc_symbol"
"ENSG00000228277",101.097069391493,1.97838144706123,0.159758540733924,12.3835723459455,3.20741790635011e-35,4.05275071455705e-32,"ENSG00000228277"
"ENSG00000215182",19204.6427973773,2.13270028062712,0.174668783903363,12.2099681063049,2.74996950926538e-34,3.29185823782799e-31,"MUC5AC"
"ENSG00000171658",30.7332450988618,2.29224105478205,0.191245335072992,11.9858664992125,4.21414624861637e-33,4.79232711392653e-30,"ENSG00000171658"
"ENSG00000156413",188.129236835534,1.3213057201625,0.11088486221382,11.9160153494588,9.7669057253889e-33,1.0578023991345e-29,"FUT6"
"ENSG00000130600",814.392266275062,2.24486659871212,0.18848330211285,11.9101616617904,1.0477392880371e-32,1.08317192577799e-29,"H19"
"ENSG00000108448",131.31849971835,1.38177126479469,0.118331548771632,11.6771163661634,1.66860541345801e-31,1.65003310972561e-28,"TRIM16L"
"ENSG00000261296",18.6840362534864,2.25025436931216,0.193724219048349,11.6157617275027,3.42720276677676e-31,3.24784582198211e-28,"ENSG00000261296"
"ENSG00000187527",108.146955935377,1.87089191538987,0.162733404330223,11.4966679588009,1.37106707289872e-30,1.24734198024034e-27,"ATP13A5"
"ENSG00000087842",228.159159287983,1.33216042409694,0.116649412487437,11.4202068890867,3.31443991052578e-30,2.89937005096148e-27,"PIR"
"ENSG00000198643",515.410707522545,1.27302678350131,0.111725467246999,11.3942399604107,4.46711084099998e-30,3.76296181361865e-27,"FAM3D"
"ENSG00000149260",369.942026238655,0.892038378717381,0.0787641592173058,11.3254351672351,9.81900275235102e-30,7.97583566426685e-27,"CAPN5"
"ENSG00000214814",549.414727796251,1.47820651197229,0.132390987595625,11.1654617796744,6.01776675006362e-29,4.7195892056361e-26,"FER1L6"
"ENSG00000196139",532.335949900378,1.49710523025972,0.134363824335465,11.1421748946495,7.81863049039566e-29,5.9275643957853e-26,"AKR1C3"
"ENSG00000171124",172.761316782343,1.39947681505849,0.126646659783732,11.0502465477439,2.1861366900124e-28,1.60391912508523e-25,"FUT3"
"ENSG00000197712",620.743248292218,0.815765190434048,0.0742125674744684,10.9922782379777,4.16283495662805e-28,2.95873494542339e-25,"FAM114A1"
"ENSG00000223561",17.220133216778,-2.09506221796063,0.193118533553818,-10.8485818497414,2.02543459425218e-27,1.39595407308096e-24,"ENSG00000223561"
"ENSG00000166104",15.6940749097699,2.02079341349465,0.186376435299222,10.842537095692,2.16385484719782e-27,1.4474916071961e-24,"ENSG00000166104"
"ENSG00000121039",2111.29604764012,1.39975068400459,0.129639226319089,10.7972773654117,3.54561556660019e-27,2.30404229847871e-24,"RDH10"
"ENSG00000175538",247.464885579238,1.14482235977782,0.106975347440208,10.7017400473291,9.98846678584737e-27,6.31049134936979e-24,"KCNE3"
"ENSG00000172551",30.15011614813,1.83938426761481,0.172133999957429,10.6857696217465,1.18660729018161e-26,7.29410708321366e-24,"MUCL1"
"ENSG00000117308",265.056502957942,0.867654376037678,0.0816333389044591,10.628676808787,2.19200322996654e-26,1.27833131954767e-23,"GALE"
"ENSG00000185499",579.740942830427,1.1237956924749,0.105727760265896,10.6291449818728,2.18102810366225e-26,1.27833131954767e-23,"MUC1"
"ENSG00000139629",743.4904914148,1.13312098243889,0.106773497182519,10.6123805283059,2.6101280886667e-26,1.48411883121589e-23,"GALNT6"
"ENSG00000109586",574.660506079674,1.02163270000491,0.0963137136148378,10.6073440807242,2.75468176613945e-26,1.49172576402561e-23,"GALNT7"
"ENSG00000163931",1015.39988364259,0.936453901259288,0.0882649255555669,10.6095812732516,2.68951654652265e-26,1.49172576402561e-23,"TKT"
"ENSG00000183196",404.539492774029,0.997217393337169,0.0947563233286667,10.5240194881588,6.69548946900269e-26,3.54144680193017e-23,"CHST6"
"ENSG00000143578",178.472409360355,0.827711312487128,0.0789787528793284,10.4801770389029,1.06544107177705e-25,5.50736175829483e-23,"CREB3L4"
"ENSG00000248323",26.6556997206892,2.00544718078621,0.192406868684617,10.4229500458917,1.94814946820149e-25,9.84638033439438e-23,"LUCAT1"
"ENSG00000263429",26.4374688093471,1.6127323135161,0.15505551389276,10.4009994422482,2.45346192542069e-25,1.21307691373409e-22,"LINC00675"
"ENSG00000119514",247.413130730515,1.0106147167031,0.0976361537783149,10.3508247467195,4.14896150024942e-25,2.00774426301432e-22,"GALNT12"
"ENSG00000258689",16.2960592682034,1.82578657839925,0.176776850380144,10.3281995039115,5.25374482062895e-25,2.48939942084135e-22,"ENSG00000258689"
"ENSG00000153292",1217.86045918664,1.33032947603225,0.128914189151481,10.3194961298561,5.75242406170728e-25,2.67006393590756e-22,"GPR110"
"ENSG00000157613",337.15877686551,1.15419185622647,0.112444500529762,10.2645469612894,1.01797660838009e-24,4.63057199619937e-22,"CREB3L1"
"ENSG00000106541",4466.60133456613,1.45613435365986,0.142663184211149,10.2067983531386,1.84864290409869e-24,8.24422239427857e-22,"AGR2"
"ENSG00000177156",654.999065962544,1.06498129783125,0.104522532247672,10.1890116411236,2.22009752014385e-24,9.71036499964455e-22,"TALDO1"
"ENSG00000224251",24.7157746337572,1.88795444858894,0.185572791066726,10.1736598223071,2.59953661268389e-24,1.11554454186571e-21,"ENSG00000224251"
